name,image_url
Lightening Face Mist,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645422626.png
Lightening Blue Clay Mask,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645421472.png
Lightening Whip Facial Foam,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645422222.png
Lightening Micellar Gentle Wash,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645422340.png
Lightening Gentle Exfoliator,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645422491.png
Lightening Day Gel,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645422012.png
Lightening Cleansing Milk,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645422743.png
Perfect Bright Super-Glow Berry Serum,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1683700787.png
Perfect Bright Night Moisturizer Bright + Night Glow,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1678264223.png
Perfect Bright Cooling Bright Jelly Facial Foam,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1668572253.png
Perfect Bright Bright + Night Glow Night Moisturizer,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1668571569.png
Perfect Bright Tone Up Micellar Water,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1668588898.png
Perfect Bright Moisturizer Bright + Oil Control SPF 30 PA+++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1668570658.png
Perfect Bright Moisturizer Bright + Smooth Glow SPF 30 PA+++,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1668570135.png
Perfect Bright Creamy Foam Bright + Oil Control,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1668569110.png
Perfect Bright Creamy Foam Bright + Smooth Glow,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1668568833.png
Hydra Rose Moisture Rich Night Gel,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645420259.png
Hydra Rose Dewy Aqua Day Gel,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645420267.png
Hydra Rose 14X Hyaluron + Pentavitin Deep Barrier Repair Serum,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1730252935.webp
Hydra Rose Petal Infused Toner,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645420285.png
Hydra Rose Gel-to-Foam Cleanser,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648518659.png
Wardah Renew You NMF Amino + Ceramide Rejuvenating Gel to Foam Cleanser,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1721979842.webp
Renew You Anti Aging Eye Cream,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1674097580.webp
Renew You Retinol Microcaps Matrixyl 3000 Lift & Rejuvenate Night Moisturizer,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1728453281.webp
Renew You Ceramide Matrixyl 3000 Lift & Firm Day Moisturizer,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1728453218.webp
Renew You Tonner Essence,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1658217505.png
